source_np	source_locus_tag	source_gene	kt2440_current_protein	nbrc14164_protein	nbrc14164_transcript	nbrc14164_locus_tag	nbrc14164_gene	identity_percent	query_coverage_percent	subject_coverage_percent	method	status
NP_744704.1	PP_2559	hasE									reciprocal_best_hit	unmapped
NP_744705.1	PP_2560	aprDA									reciprocal_best_hit	unmapped
NP_744783.1	PP_2639	dapA									reciprocal_best_hit	unmapped
NP_744837.1	PP_2693		WP_010953609.1	WP_016500202.1	unassigned_transcript_3212	PP4_RS15810		96.951	100.0	100.0	reciprocal_best_hit	mapped
NP_744842.1	PP_2698	metE	WP_010953614.1	WP_016500134.1	unassigned_transcript_3143	PP4_RS15465		91.813	99.0	98.559	reciprocal_best_hit	mapped
NP_744869.1	PP_2725	pfpI		WP_016500092.1	unassigned_transcript_3101	PP4_RS15255		92.135	99.0	99.441	direct_unique_best_hit	mapped
NP_744906.1	PP_2762	sfnA									reciprocal_best_hit	unmapped
NP_744920.1	PP_2776										reciprocal_best_hit	unmapped
NP_744999.1	PP_2855		WP_010953761.1	WP_016500029.1	unassigned_transcript_3032	PP4_RS14935		95.133	100.0	100.0	reciprocal_best_hit	mapped
NP_745053.1	PP_2909	glaH	WP_010953811.1	WP_016499976.1	unassigned_transcript_2979	PP4_RS14670	glaH	96.615	100.0	100.0	reciprocal_best_hit	mapped
NP_745069.1	PP_2925	mqo-III	WP_010953827.1	WP_016499954.1	unassigned_transcript_2958	PP4_RS14565	mqo	94.476	97.0	100.0	reciprocal_best_hit	mapped
NP_745085.1	PP_2941										reciprocal_best_hit	unmapped
NP_745146.1	PP_3002	aroE	WP_010953902.1	WP_016500332.1	unassigned_transcript_3348	PP4_RS16470	aroE	88.603	100.0	100.0	reciprocal_best_hit	mapped
NP_745147.1	PP_3003	aroQ-III	WP_010953903.1	WP_016500331.1	unassigned_transcript_3347	PP4_RS16465	aroQ	92.414	100.0	100.0	reciprocal_best_hit	mapped
NP_745189.1	PP_3045										reciprocal_best_hit	unmapped
NP_745215.1	PP_3071	aacS									reciprocal_best_hit	unmapped
NP_745224.1	PP_3080	aroF-II	WP_010953978.1	WP_016499506.1	unassigned_transcript_2497	PP4_RS12310		95.467	100.0	100.0	reciprocal_best_hit	mapped
NP_745260.1	PP_3116	lexA2		WP_115283618.1	unassigned_transcript_2553	PP4_RS12595	lexA	95.545	100.0	100.0	direct_unique_best_hit	mapped
NP_745267.1	PP_3123	atoB	WP_010954014.1	WP_016499568.1	unassigned_transcript_2560	PP4_RS12630		98.165	100.0	100.0	reciprocal_best_hit	mapped
NP_745280.1	PP_3136		WP_010954025.1	WP_016499581.1	unassigned_transcript_2575	PP4_RS12700		94.253	100.0	100.0	reciprocal_best_hit	mapped
NP_745292.1	PP_3148		WP_010954037.1	WP_016499593.1	unassigned_transcript_2587	PP4_RS12760		99.115	100.0	100.0	reciprocal_best_hit	mapped
NP_745339.1	PP_3195										reciprocal_best_hit	unmapped
NP_745351.1	PP_3207										reciprocal_best_hit	unmapped
NP_745410.1	PP_3267			WP_016499661.1	unassigned_transcript_2655	PP4_RS13090		90.164	92.0	100.0	direct_unique_best_hit	mapped
NP_745425.1	PP_3282	paaH	WP_010954161.1	WP_016499679.1	unassigned_transcript_2674	PP4_RS13185	paaH	91.485	100.0	100.0	reciprocal_best_hit	mapped
NP_745427.1	PP_3284	paaF	WP_010954163.1	WP_041168025.1	unassigned_transcript_2676	PP4_RS13195	paaF	89.883	100.0	100.0	reciprocal_best_hit	mapped
NP_745517.1	PP_3377	kguT	WP_010954250.1	WP_016499836.1	unassigned_transcript_2836	PP4_RS13965		99.068	99.0	99.767	reciprocal_best_hit	mapped
NP_745518.1	PP_3378	kguK	WP_010954251.1	WP_016499837.1	unassigned_transcript_2837	PP4_RS13970		93.671	100.0	100.0	reciprocal_best_hit	mapped
NP_745519.1	PP_3379	kguE	WP_010954252.1	WP_016499838.1	unassigned_transcript_2838	PP4_RS13975		91.12	100.0	100.0	reciprocal_best_hit	mapped
NP_745554.1	PP_3416	gnuK	WP_010954284.1	WP_016499891.1	unassigned_transcript_2893	PP4_RS14240		97.207	100.0	100.0	reciprocal_best_hit	mapped
NP_745555.1	PP_3417	gntT	WP_010954285.1	WP_016499892.1	unassigned_transcript_2894	PP4_RS14245		98.667	100.0	100.0	reciprocal_best_hit	mapped
NP_745584.1	PP_3446	ilvA-I		WP_016499486.1	unassigned_transcript_2478	PP4_RS12215	ilvA	96.339	98.0	100.0	direct_unique_best_hit	mapped
NP_745634.1	PP_3497	ydcP	WP_004577525.1	WP_016499415.1	unassigned_transcript_2406	PP4_RS11855		97.297	100.0	100.0	reciprocal_best_hit	mapped
NP_745648.1	PP_3511	ilvE	WP_010954369.1	WP_016487380.1	unassigned_transcript_2396	PP4_RS11805		99.115	100.0	100.0	reciprocal_best_hit	mapped
NP_745670.1	PP_3533	ocd	WP_010954390.1	WP_016499379.1	unassigned_transcript_2368	PP4_RS11665		96.286	100.0	100.0	reciprocal_best_hit	mapped
NP_745672.1	PP_3535		WP_010954392.1	WP_016499376.1	unassigned_transcript_2365	PP4_RS11650	ggt	88.423	100.0	100.0	reciprocal_best_hit	mapped
NP_745708.1	PP_3571			WP_016499340.1	unassigned_transcript_2328	PP4_RS11470	argE	93.523	99.0	99.485	direct_unique_best_hit	mapped
NP_745715.1	PP_3578	pgm	WP_010954431.1	WP_016499328.1	unassigned_transcript_2316	PP4_RS11410	pgm	96.514	100.0	100.0	reciprocal_best_hit	mapped
NP_745769.1	PP_3633	argC2	WP_010954475.1	WP_016499278.1	unassigned_transcript_2262	PP4_RS11140	argC	93.61	100.0	100.0	reciprocal_best_hit	mapped
NP_745848.1	PP_3715	catB	WP_010954551.1	WP_016499204.1	unassigned_transcript_2184	PP4_RS10750		96.783	100.0	100.0	reciprocal_best_hit	mapped
NP_745872.1	PP_3741	mrdA-I	WP_010954574.1	WP_016499163.1	unassigned_transcript_2142	PP4_RS10540	mrdA	97.46	99.0	99.842	reciprocal_best_hit	mapped
NP_745884.1	PP_3754	bktB	WP_010954586.1	WP_016499125.1	unassigned_transcript_2101	PP4_RS10335		94.416	100.0	100.0	reciprocal_best_hit	mapped
NP_745908.1	PP_3778	proC									reciprocal_best_hit	unmapped
NP_745920.1	PP_3790	dapF									reciprocal_best_hit	unmapped
NP_745924.1	PP_3794	pbpG	WP_010954624.1	WP_041167677.1	unassigned_transcript_2078	PP4_RS10220	pbpG	98.052	100.0	100.0	reciprocal_best_hit	mapped
NP_745974.1	PP_3844										reciprocal_best_hit	unmapped
NP_746008.1	PP_3878										reciprocal_best_hit	unmapped
NP_746052.1	PP_3922	sohB	WP_010954747.1	WP_016498905.1	unassigned_transcript_1860	PP4_RS09155	sohB	96.165	100.0	100.0	reciprocal_best_hit	mapped
NP_746130.1	PP_4000	serS	WP_010954808.1	WP_016498861.1	unassigned_transcript_1812	PP4_RS08915	serS	96.948	100.0	100.0	reciprocal_best_hit	mapped
NP_746136.1	PP_4006	bpt	WP_003251215.1	WP_016498855.1	unassigned_transcript_1806	PP4_RS08885		96.596	100.0	100.0	reciprocal_best_hit	mapped
NP_746138.1	PP_4008	clpA	WP_010954812.1	WP_016498854.1	unassigned_transcript_1804	PP4_RS08875	clpA	98.413	100.0	100.0	reciprocal_best_hit	mapped
NP_746139.1	PP_4009	clpS	WP_003251220.1	WP_016488124.1	unassigned_transcript_1803	PP4_RS08870	clpS	99.167	100.0	100.0	reciprocal_best_hit	mapped
NP_746141.1	PP_4011	icd	WP_010954814.1	WP_016498852.1	unassigned_transcript_1801	PP4_RS08860	icd	98.565	100.0	100.0	reciprocal_best_hit	mapped
NP_746168.1	PP_4042	zwfB	WP_010954837.1	WP_016498823.1	unassigned_transcript_1772	PP4_RS08715	zwf	96.607	100.0	100.0	reciprocal_best_hit	mapped
NP_746176.1	PP_4050	glgA	WP_010954845.1	WP_016498821.1	unassigned_transcript_1769	PP4_RS08705	glgA	98.073	100.0	100.0	reciprocal_best_hit	mapped
NP_746178.1	PP_4052	malQ	WP_010954847.1	WP_016498819.1	unassigned_transcript_1767	PP4_RS08695	malQ	92.163	100.0	100.0	reciprocal_best_hit	mapped
NP_746181.1	PP_4055	glgX	WP_010954850.1	WP_041167663.1	unassigned_transcript_1764	PP4_RS08680	glgX	98.047	100.0	100.0	reciprocal_best_hit	mapped
NP_746184.1	PP_4058	glgB	WP_010954852.1	WP_016498813.1	unassigned_transcript_1761	PP4_RS08665	glgB	95.109	100.0	100.0	reciprocal_best_hit	mapped
NP_746232.1	PP_4113		WP_010954894.1	WP_016498755.1	unassigned_transcript_1700	PP4_RS08370		90.811	98.0	97.54	reciprocal_best_hit	mapped
NP_746235.1	PP_4116	aceA	WP_010954897.1	WP_012273289.1	unassigned_transcript_1698	PP4_RS08360	aceA	98.186	100.0	100.0	reciprocal_best_hit	mapped
NP_746292.1	PP_4175	fabB	WP_010954940.1	WP_016498705.1	unassigned_transcript_1640	PP4_RS08070	fabB	98.276	100.0	100.0	reciprocal_best_hit	mapped
NP_746302.1	PP_4185	sucD	WP_003254203.1	WP_003254203.1	unassigned_transcript_1630	PP4_RS08020	sucD	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_746303.1	PP_4186	sucC	WP_003254205.1	WP_008091914.1	unassigned_transcript_1629	PP4_RS08015	sucC	97.68	100.0	100.0	reciprocal_best_hit	mapped
NP_746305.1	PP_4188	sucB	WP_010954950.1	WP_016498694.1	unassigned_transcript_1627	PP4_RS08005	odhB	98.771	100.0	100.246	reciprocal_best_hit	mapped
NP_746306.1	PP_4189	sucA	WP_010954951.1	WP_016498693.1	unassigned_transcript_1626	PP4_RS08000		98.94	100.0	100.0	reciprocal_best_hit	mapped
NP_746307.1	PP_4190	sdhB	WP_003254212.1	WP_008091906.1	unassigned_transcript_1625	PP4_RS07995		98.718	100.0	100.0	reciprocal_best_hit	mapped
NP_746308.1	PP_4191	sdhA	WP_003254213.1	WP_016498692.1	unassigned_transcript_1624	PP4_RS07990	sdhA	97.458	100.0	100.0	reciprocal_best_hit	mapped
NP_746309.1	PP_4192	sdhD	WP_003254214.1	WP_016498691.1	unassigned_transcript_1623	PP4_RS07985	sdhD	99.18	100.0	100.0	reciprocal_best_hit	mapped
NP_746310.1	PP_4193	sdhC	WP_008091902.1	WP_008091902.1	unassigned_transcript_1622	PP4_RS07980	sdhC	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_746311.1	PP_4194	gltA	WP_003254218.1	WP_016488282.1	unassigned_transcript_1621	PP4_RS07975	gltA	99.534	100.0	100.0	reciprocal_best_hit	mapped
NP_746330.1	PP_4213	pvdM		WP_016498674.1	unassigned_transcript_1603	PP4_RS07885		78.747	97.0	99.777	direct_unique_best_hit	mapped
NP_746417.1	PP_4301	pyk	WP_003254349.1	WP_016498601.1	unassigned_transcript_1521	PP4_RS07485	pyk	99.363	100.0	100.0	reciprocal_best_hit	mapped
NP_746513.1	PP_4399		WP_010955109.1	WP_162471783.1	unassigned_transcript_1419	PP4_RS06975		96.368	100.0	100.243	reciprocal_best_hit	mapped
NP_746545.2	PP_4432										reciprocal_best_hit	unmapped
NP_746547.1	PP_4434	dadA1		WP_016502215.1	unassigned_transcript_5457	PP4_RS26875	dadA	79.953	99.0	98.848	direct_unique_best_hit	mapped
NP_746584.1	PP_4473		WP_003254504.1	WP_016498499.1	unassigned_transcript_1400	PP4_RS06875		98.297	100.0	100.0	reciprocal_best_hit	mapped
NP_746586.1	PP_4475	astE	WP_010955173.1	WP_016498495.1	unassigned_transcript_1397	PP4_RS06860	astE	95.821	100.0	100.0	reciprocal_best_hit	mapped
NP_746588.1	PP_4477	astB	WP_010955174.1	WP_016498494.1	unassigned_transcript_1395	PP4_RS06850	astB	96.659	100.0	100.0	reciprocal_best_hit	mapped
NP_746589.1	PP_4478	astD	WP_010955175.1	WP_016498493.1	unassigned_transcript_1394	PP4_RS06845	astD	97.331	100.0	100.0	reciprocal_best_hit	mapped
NP_746590.1	PP_4479	astA-I	WP_010955176.1	WP_016498492.1	unassigned_transcript_1393	PP4_RS06840	astA	98.246	100.0	100.0	reciprocal_best_hit	mapped
NP_746591.1	PP_4480	astA-II	WP_010955177.1	WP_016488492.1	unassigned_transcript_1392	PP4_RS06835	aruF	95.575	100.0	100.0	reciprocal_best_hit	mapped
NP_746592.1	PP_4481	argD	WP_010955178.1	WP_016498491.1	unassigned_transcript_1391	PP4_RS06830		97.783	100.0	100.0	reciprocal_best_hit	mapped
NP_746598.2	PP_4487	acsA-I		WP_016498485.1	unassigned_transcript_1385	PP4_RS06800	acs	99.234	94.0	100.0	direct_unique_best_hit	mapped
NP_746601.1	PP_4490	phhA	WP_003254528.1	WP_016498483.1	unassigned_transcript_1382	PP4_RS06785	phhA	98.473	100.0	100.0	reciprocal_best_hit	mapped
NP_746656.1	PP_4547		WP_010955221.1	WP_016498430.1	unassigned_transcript_1324	PP4_RS06500		97.577	100.0	100.0	reciprocal_best_hit	mapped
NP_746658.1	PP_4549	fadD-I	WP_010955223.1	WP_016498428.1	unassigned_transcript_1322	PP4_RS06490	fadD1	98.761	100.0	100.0	reciprocal_best_hit	mapped
NP_746659.1	PP_4550	fadD-II	WP_010955224.1	WP_016498427.1	unassigned_transcript_1321	PP4_RS06485	fadD2	96.975	100.0	100.0	reciprocal_best_hit	mapped
NP_746680.1	PP_4571	cysK	WP_010955241.1	WP_016498392.1	unassigned_transcript_1284	PP4_RS06305	cysK	97.84	100.0	100.0	reciprocal_best_hit	mapped
NP_746692.1	PP_4583		WP_010955252.1	WP_016498382.1	unassigned_transcript_1271	PP4_RS06250		94.845	99.0	99.853	reciprocal_best_hit	mapped
NP_746730.1	PP_4621	hmgA	WP_010955283.1	WP_016497954.1	unassigned_transcript_775	PP4_RS03785	hmgA	96.305	100.0	100.0	reciprocal_best_hit	mapped
NP_746745.1	PP_4636	yqeF	WP_010955297.1	WP_041167958.1	unassigned_transcript_756	PP4_RS03690		96.429	100.0	100.0	reciprocal_best_hit	mapped
NP_746746.1	PP_4637		WP_010955298.1	WP_016497935.1	unassigned_transcript_755	PP4_RS03685		79.197	100.0	103.008	reciprocal_best_hit	mapped
NP_746766.1	PP_4657	ypfJ		WP_016497917.1	unassigned_transcript_733	PP4_RS03575	ypfJ	95.318	93.0	100.0	direct_unique_best_hit	mapped
NP_746768.1	PP_4659	ggt	WP_010955315.1	WP_016489113.1	unassigned_transcript_729	PP4_RS03560	ggt	99.64	100.0	100.0	reciprocal_best_hit	mapped
NP_746775.1	PP_4666	mmsB	WP_010955321.1	WP_016497903.1	unassigned_transcript_714	PP4_RS03485	mmsB	98.644	100.0	100.0	reciprocal_best_hit	mapped
NP_746787.1	PP_4678	ilvC	WP_003250043.1	WP_003250043.1	unassigned_transcript_4770	PP4_RS23485	ilvC	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_746788.1	PP_4679	ilvH	WP_003250040.1	WP_003250040.1	unassigned_transcript_4771	PP4_RS23490	ilvN	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_746789.1	PP_4680	ilvI	WP_010955332.1	WP_041168126.1	unassigned_transcript_4772	PP4_RS23495		98.606	100.0	100.0	reciprocal_best_hit	mapped
NP_746792.1	PP_4683	mrcB	WP_010955335.1	WP_016501609.1	unassigned_transcript_4775	PP4_RS23510	mrcB	97.93	100.0	100.0	reciprocal_best_hit	mapped
NP_746811.1	PP_4702	acsA-II	WP_010955351.1	WP_016501627.1	unassigned_transcript_4795	PP4_RS23610	acs	96.118	100.0	100.0	reciprocal_best_hit	mapped
NP_746823.1	PP_4715	tpiA	WP_003249956.1	WP_016501639.1	unassigned_transcript_4812	PP4_RS23695	tpiA	98.008	100.0	100.0	reciprocal_best_hit	mapped
NP_746826.1	PP_4718	ftsH		WP_041167879.1	unassigned_transcript_4815	PP4_RS23710	ftsH	99.211	99.0	100.0	direct_unique_best_hit	mapped
NP_746831.3	PP_4723	carB		WP_016501646.1	unassigned_transcript_4820	PP4_RS23735	carB	99.068	99.0	100.0	direct_unique_best_hit	mapped
NP_746832.1	PP_4724	carA	WP_010955364.1	WP_016501647.1	unassigned_transcript_4821	PP4_RS23740	carA	99.206	100.0	100.0	reciprocal_best_hit	mapped
NP_746833.1	PP_4725	dapB	WP_003249933.1	WP_016501648.1	unassigned_transcript_4822	PP4_RS23745	dapB	99.625	100.0	100.0	reciprocal_best_hit	mapped
NP_746851.1	PP_4743										reciprocal_best_hit	unmapped
NP_746858.1	PP_4752		WP_010955382.1	WP_016501669.1	unassigned_transcript_4846	PP4_RS23860		98.621	100.0	100.0	reciprocal_best_hit	mapped
NP_746893.1	PP_4788	ybeY	WP_010955408.1	WP_016501792.1	unassigned_transcript_4972	PP4_RS24480	ybeY	95.541	100.0	100.0	reciprocal_best_hit	mapped
NP_746904.1	PP_4799		WP_010955415.1	WP_016501802.1	unassigned_transcript_4982	PP4_RS24530		92.332	100.0	100.0	reciprocal_best_hit	mapped
NP_746908.1	PP_4803	dacA	WP_010955418.1	WP_016489361.1	unassigned_transcript_4986	PP4_RS24550		97.927	100.0	100.0	reciprocal_best_hit	mapped
NP_746912.1	PP_4807	mrdA-II	WP_010955422.1	WP_016501807.1	unassigned_transcript_4990	PP4_RS24570	mrdA	98.092	100.0	100.0	reciprocal_best_hit	mapped
NP_746916.1	PP_4811	proA	WP_004576854.1	WP_016501809.1	unassigned_transcript_4994	PP4_RS24590		97.163	100.0	100.0	reciprocal_best_hit	mapped
NP_746919.1	PP_4814			WP_016501812.1	unassigned_transcript_4997	PP4_RS24605		97.959	99.0	100.0	direct_unique_best_hit	mapped
NP_746993.1	PP_4890	hisZ	WP_010955481.1	WP_016501880.1	unassigned_transcript_5075	PP4_RS24985		98.481	100.0	100.0	reciprocal_best_hit	mapped
NP_747016.1	PP_4913		WP_010955495.1	WP_016501900.1	unassigned_transcript_5098	PP4_RS25100		87.209	100.0	100.0	reciprocal_best_hit	mapped
NP_747027.1	PP_4924										reciprocal_best_hit	unmapped
NP_747030.1	PP_4927	cyaB									reciprocal_best_hit	unmapped
NP_747050.1	PP_4947	putA	WP_010955523.1	WP_016501931.1	unassigned_transcript_5129	PP4_RS25255	putA	98.405	100.0	100.0	reciprocal_best_hit	mapped
NP_747052.2	PP_4949		WP_049587479.1	WP_016501934.1	unassigned_transcript_5133	PP4_RS25275		96.875	100.0	100.0	reciprocal_best_hit	mapped
NP_747053.1	PP_4950		WP_010955526.1	WP_016501935.1	unassigned_transcript_5134	PP4_RS25280		93.166	100.0	100.0	reciprocal_best_hit	mapped
NP_747066.1	PP_4963	pgk	WP_010955537.1	WP_016501945.1	unassigned_transcript_5147	PP4_RS25345		98.966	100.0	100.0	reciprocal_best_hit	mapped
NP_747079.1	PP_4977	metF		WP_016501958.1	unassigned_transcript_5161	PP4_RS25415	metF	97.509	95.0	100.0	direct_unique_best_hit	mapped
NP_747102.1	PP_5000	hslV	WP_003249309.1	WP_003249309.1	unassigned_transcript_5186	PP4_RS25540	hslV	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_747103.1	PP_5001	hslU	WP_003249308.1	WP_016501979.1	unassigned_transcript_5187	PP4_RS25545	hslU	98.881	100.0	100.0	reciprocal_best_hit	mapped
NP_747105.1	PP_5003	phaA	WP_010955566.1	WP_016501981.1	unassigned_transcript_5189	PP4_RS25555	phaC	95.707	100.0	100.0	reciprocal_best_hit	mapped
NP_747106.1	PP_5004	phaB	WP_010955567.1	WP_016501982.1	unassigned_transcript_5190	PP4_RS25560	phaZ	96.466	100.0	100.0	reciprocal_best_hit	mapped
NP_747107.1	PP_5005	phaC-II	WP_010955568.1	WP_016501983.1	unassigned_transcript_5191	PP4_RS25565	phaC	91.25	100.0	100.0	reciprocal_best_hit	mapped
NP_747115.1	PP_5014	hisI	WP_003249284.1	WP_016501991.1	unassigned_transcript_5200	PP4_RS25610	hisI	97.692	100.0	100.0	reciprocal_best_hit	mapped
NP_747116.1	PP_5015	hisE	WP_003249283.1	WP_016489563.1	unassigned_transcript_5201	PP4_RS25615		97.297	100.0	100.0	reciprocal_best_hit	mapped
NP_747128.1	PP_5027	dtd	WP_003249262.1	WP_016502001.1	unassigned_transcript_5214	PP4_RS25675	dtd	96.552	100.0	100.0	reciprocal_best_hit	mapped
NP_747129.2	PP_5028	pip		WP_016489576.1	unassigned_transcript_5215	PP4_RS25680	pip	99.381	90.0	100.0	direct_unique_best_hit	mapped
NP_747131.1	PP_5030	hutI	WP_010955587.1	WP_016502003.1	unassigned_transcript_5217	PP4_RS25690	hutI	97.257	100.0	100.0	reciprocal_best_hit	mapped
NP_747133.1	PP_5032	hutH	WP_010955589.1	WP_016502005.1	unassigned_transcript_5219	PP4_RS25700	hutH	98.235	100.0	100.0	reciprocal_best_hit	mapped
NP_747134.1	PP_5033	hutU	WP_004577162.1	WP_016502006.1	unassigned_transcript_5220	PP4_RS25705	hutU	99.461	100.0	100.0	reciprocal_best_hit	mapped
NP_747142.1	PP_5041	glgP	WP_010955596.1	WP_016502012.1	unassigned_transcript_5228	PP4_RS25745		97.059	100.0	100.0	reciprocal_best_hit	mapped
NP_747147.1	PP_5046	glnA	WP_003249219.1	WP_016489592.1	unassigned_transcript_5232	PP4_RS25765	glnA	99.573	100.0	100.0	reciprocal_best_hit	mapped
NP_747159.1	PP_5058	ctpA	WP_004576741.1	WP_016502020.1	unassigned_transcript_5242	PP4_RS25815		98.398	99.0	99.772	reciprocal_best_hit	mapped
NP_747176.1	PP_5075	gltD	WP_003249156.1	WP_016502038.1	unassigned_transcript_5260	PP4_RS25905		98.941	100.0	100.0	reciprocal_best_hit	mapped
NP_747177.1	PP_5076	gltB	WP_010955622.1	WP_016502039.1	unassigned_transcript_5261	PP4_RS25910	gltB	98.582	100.0	100.0	reciprocal_best_hit	mapped
NP_747179.1	PP_5078	aroB	WP_010955624.1	WP_016502041.1	unassigned_transcript_5263	PP4_RS25920	aroB	98.082	100.0	100.0	reciprocal_best_hit	mapped
NP_747180.1	PP_5079	aroK	WP_010955625.1	WP_024717571.1	unassigned_transcript_5264	PP4_RS25925	aroK	96.512	100.0	100.0	reciprocal_best_hit	mapped
NP_747196.1	PP_5095	proI	WP_010955638.1	WP_016502057.1	unassigned_transcript_5280	PP4_RS26005	proC	97.059	100.0	100.0	reciprocal_best_hit	mapped
NP_747198.1	PP_5097	metXS	WP_010955639.1	WP_016502059.1	unassigned_transcript_5282	PP4_RS26015	metX	98.681	100.0	100.0	reciprocal_best_hit	mapped
NP_747216.1	PP_5115										reciprocal_best_hit	unmapped
NP_747229.1	PP_5128	ilvD	WP_010955664.1	WP_016502088.1	unassigned_transcript_5311	PP4_RS26160	ilvD	98.532	100.0	100.0	reciprocal_best_hit	mapped
NP_747233.1	PP_5132	folA	WP_010955668.1	WP_016502091.1	unassigned_transcript_5314	PP4_RS26175		95.294	99.0	99.415	reciprocal_best_hit	mapped
NP_747250.1	PP_5149	ilvA-II	WP_010955682.1	WP_016502109.1	unassigned_transcript_5333	PP4_RS26270	ilvA	98.81	100.0	100.0	reciprocal_best_hit	mapped
NP_747284.1	PP_5183	spuB	WP_010955710.1	WP_016502145.1	unassigned_transcript_5374	PP4_RS26480		99.336	100.0	100.0	reciprocal_best_hit	mapped
NP_747285.1	PP_5184	spuI	WP_010955711.1	WP_016502146.1	unassigned_transcript_5375	PP4_RS26485		98.69	100.0	100.0	reciprocal_best_hit	mapped
NP_747286.1	PP_5185	argA	WP_003253723.1	WP_016502147.1	unassigned_transcript_5376	PP4_RS26490	argA	98.843	100.0	100.0	reciprocal_best_hit	mapped
NP_747287.1	PP_5186	argE	WP_010955712.1	WP_016502148.1	unassigned_transcript_5377	PP4_RS26495	argE	96.053	100.0	100.0	reciprocal_best_hit	mapped
NP_747293.1	PP_5192	gcvP2	WP_010955717.1	WP_016502154.1	unassigned_transcript_5383	PP4_RS26525	gcvP	96.552	100.0	100.0	reciprocal_best_hit	mapped
NP_747294.1	PP_5193	gcvH2	WP_010955718.1	WP_016502155.1	unassigned_transcript_5384	PP4_RS26530	gcvH	93.701	100.0	100.0	reciprocal_best_hit	mapped
NP_747295.1	PP_5194	gcvT	WP_010955719.1	WP_016502156.1	unassigned_transcript_5385	PP4_RS26535	gcvT	94.722	100.0	100.0	reciprocal_best_hit	mapped
NP_747301.1	PP_5200	pepP	WP_010955724.1	WP_016502162.1	unassigned_transcript_5391	PP4_RS26565	pepP	97.523	100.0	100.0	reciprocal_best_hit	mapped
NP_747318.1	PP_5217	ppk		WP_016502177.1	unassigned_transcript_5412	PP4_RS26660	ppk1	97.538	100.0	97.337	direct_unique_best_hit	mapped
NP_747328.1	PP_5227	lysA-II	WP_010955746.1	WP_016502187.1	unassigned_transcript_5422	PP4_RS26710	lysA	96.627	100.0	100.0	reciprocal_best_hit	mapped
NP_747329.1	PP_5228	dapF		WP_016502188.1	unassigned_transcript_5423	PP4_RS26715	dapF	98.188	96.0	100.0	direct_unique_best_hit	mapped
NP_747370.1	PP_5269	dadX	WP_010955779.1	WP_016502214.1	unassigned_transcript_5456	PP4_RS26870	alr	96.078	100.0	100.0	reciprocal_best_hit	mapped
NP_747371.1	PP_5270	dadA2	WP_010955780.1	WP_016502215.1	unassigned_transcript_5457	PP4_RS26875	dadA	97.465	100.0	100.0	reciprocal_best_hit	mapped
NP_747385.1	PP_5284		WP_010955789.1	WP_016502224.1	unassigned_transcript_5470	PP4_RS26940	radC	81.778	99.0	99.558	reciprocal_best_hit	mapped
NP_747389.1	PP_5288	algC									reciprocal_best_hit	unmapped
NP_747390.1	PP_5289	argB	WP_004575216.1	WP_004575216.1	unassigned_transcript_5474	PP4_RS26960	argB	100.0	100.0	100.0	reciprocal_best_hit	mapped
NP_747400.1	PP_5299	puuA-II	WP_010955798.1	WP_016502231.1	unassigned_transcript_5482	PP4_RS27000		98.696	100.0	100.0	reciprocal_best_hit	mapped
YP_009237076.1	PP_5604		WP_049587702.1	WP_016499467.1	unassigned_transcript_2458	PP4_RS12120	qhpE	87.054	99.0	99.556	reciprocal_best_hit	mapped
YP_009237104.1	PP_5629										reciprocal_best_hit	unmapped
